domain_id,display_name,family,status,event_year,analysis_end_year,landmark_policy,n_works,local_reference_closure,topic_coverage,duplicate_doi_rate,clean_landmark_rows,matched_clean_landmark_rows,fig3_ready,fig3_eligible_metric_papers,fig3_eligible_metric_landmarks,recommended_role,failure_reasons,fig3_readiness_failures,publication_score,reason_for_inclusion_or_exclusion,notes
single_cell_rna_seq,Single-cell RNA sequencing,biology_biomedicine,repair_closure,2009.0,2025,validated_doi_or_openalex,2613,0.7033052697224821,1.0,0.0,2,2,False,45,2,rebuild_needed,reference_closure,fig3_metric_papers,0.980661,reference_closure,reference_closure
organoids,Organoids and stem-cell models,biology_biomedicine,repair_closure,2009.0,2025,validated_doi_or_openalex,2028,0.6951556784726559,1.0,0.0,2,2,False,54,1,rebuild_needed,n_works;reference_closure,fig3_metric_papers,0.937495,reference_closure,reference_closure
alphafold_protein_folding,AlphaFold and protein structure prediction,biology_biomedicine,repair_closure,2020.0,2025,validated_doi_or_openalex,2104,0.6266287609571192,1.0,0.0,2,2,False,356,0,rebuild_needed,n_works;reference_closure,fig3_metric_landmarks,0.930478,reference_closure,reference_closure
rna_interference,RNA interference,biology_biomedicine,repair_closure,1998.0,2025,validated_doi_or_openalex,2185,0.6909281694171516,1.0,0.0,1,1,False,530,0,rebuild_needed,n_works;reference_closure,fig3_metric_landmarks,0.880466,reference_closure,reference_closure
spatial_transcriptomics,Spatial transcriptomics,biology_biomedicine,repair_closure,2016.0,2025,validated_doi_or_openalex,2452,0.5583555331557347,1.0,0.0,1,1,False,0,0,rebuild_needed,n_works;reference_closure,fig3_metric_papers;fig3_metric_landmarks,0.877447,reference_closure,reference_closure
genome_wide_association_studies,Genome-wide association studies,biology_biomedicine,repair_closure,2007.0,2025,validated_doi_or_openalex,2765,0.6392472962393807,1.0,0.0018083182640144665,1,1,True,869,1,rebuild_needed,reference_closure,,0.87615,reference_closure,reference_closure
immune_checkpoint_therapy,Immune checkpoint therapy,biology_biomedicine,repair_closure,2010.0,2025,validated_doi_or_openalex,2483,0.3968306502859564,1.0,0.0016109544905356424,1,1,True,471,1,rebuild_needed,n_works;reference_closure,,0.828539,reference_closure,reference_closure
rna_interference_and_gene_delivery,rna_interference_and_gene_delivery,other_science,repair_closure,2001.0,2025,validated_doi_or_openalex,1,0.0,1.0,0.0,1,1,False,1,1,exclude_for_now,n_works;reference_closure;landmark_controls;legacy_landmark_inflation,fig3_metric_papers,0.430088,reference_closure,reference_closure
transformer_foundation_models,Transformer and foundation models,computational_methods,repair_topic,2017.0,2025,validated_doi_or_openalex,3831,0.9134144756789535,0.6523101018010963,0.0,3,3,False,325,0,rebuild_needed,topic_coverage,fig3_metric_landmarks,0.943596,topic_coverage,topic_coverage
synthetic_biology,Synthetic biology,biology_biomedicine,too_recent_for_main,2000.0,2025,validated_doi_or_openalex,2226,0.8823456484006943,1.0,0.0017969451931716084,2,2,False,271,2,rebuild_needed,n_works,fig3_metric_papers,0.954325,fig3_metric_papers,fig3_metric_papers
super_resolution_microscopy,Super-resolution microscopy,biology_biomedicine,too_recent_for_main,2006.0,2025,validated_doi_or_openalex,2649,0.943935693935694,1.0,0.0,1,1,False,127,1,main_candidate,,fig3_metric_papers,0.93,fig3_metric_papers,fig3_metric_papers
autophagy_in_disease_and_therapy,Autophagy in Disease and Therapy,biology_biomedicine,drop,2005.0,2025,validated_doi_or_openalex,2974,0.9727836725227575,1.0,0.0,4,4,True,1765,4,main_candidate,,,1.0,excluded_by_policy,excluded_by_policy
banking_stability_regulation_efficiency,"Banking stability, regulation, efficiency",social_economics_policy,drop,1996.0,2025,validated_doi_or_openalex,2622,0.9389589856465264,1.0,0.0,2,2,True,1417,1,main_candidate,,,1.0,excluded_family,excluded_family
economic_theories_and_models,Economic theories and models,social_economics_policy,drop,1998.0,2025,validated_doi_or_openalex,2553,0.8750376846548086,1.0,0.0,2,2,False,401,0,main_candidate,,fig3_metric_landmarks,1.0,excluded_family,excluded_family
financial_markets_and_investment_strategies,Financial Markets and Investment Strategies,social_economics_policy,drop,1975.0,2025,validated_doi_or_openalex,2780,0.975357165138187,1.0,0.0,3,2,True,1615,1,rebuild_needed,unmatched_clean_landmark,,1.0,excluded_family,excluded_family
income_poverty_and_inequality,"Income, Poverty, and Inequality",social_economics_policy,drop,1973.0,2025,validated_doi_or_openalex,2536,0.8628091807175221,1.0,0.0,3,2,True,866,2,rebuild_needed,unmatched_clean_landmark,,1.0,excluded_family,excluded_family
monetary_policy_and_economic_impact,Monetary Policy and Economic Impact,social_economics_policy,drop,1990.0,2025,validated_doi_or_openalex,2502,0.9328418230563003,1.0,0.0,2,2,True,1455,1,main_candidate,,,1.0,excluded_family,excluded_family
economic_theory_and_institutions,Economic Theory and Institutions,social_economics_policy,drop,1972.0,2025,validated_doi_or_openalex,2596,0.7364245657228833,1.0,0.0,4,3,False,459,0,rebuild_needed,reference_closure;unmatched_clean_landmark,fig3_metric_landmarks,0.987285,excluded_family,excluded_family
microbiome_metagenomics,Microbiome and metagenomics,biology_biomedicine,drop,2012.0,2025,validated_doi_or_openalex,2500,0.8701174838513894,1.0,0.0,1,1,True,488,1,main_candidate,,,0.93,excluded_by_policy,excluded_by_policy
economic_theory_and_policy,Economic Theory and Policy,social_economics_policy,drop,1970.0,2025,validated_doi_or_openalex,2325,0.6861183355006502,1.0,0.0,3,1,False,325,0,rebuild_needed,n_works;reference_closure;unmatched_clean_landmark,fig3_metric_landmarks,0.891824,excluded_family,excluded_family
economic_growth_and_productivity,Economic Growth and Productivity,social_economics_policy,drop,1977.0,2025,validated_doi_or_openalex,2052,0.8792161433670868,1.0,0.0,2,1,False,902,0,rebuild_needed,n_works;unmatched_clean_landmark,fig3_metric_landmarks,0.890576,excluded_family,excluded_family
