domains,n_domains,max_year,n_papers,min_papers_per_domain,learned_oof_spearman,equal_weight_spearman,learned_vs_equal_delta,top_family,top_family_count,top_family_share,high_vs_low_tertile_median_rgpm_lift_pp,top_vs_bottom_score_decile_rgpm_top20_enrichment,candidate_id,passes_family_balance,passes_min_domains,passes_min_domain_papers,passes_top_enrichment,oof_gap_to_0_45,screening_score
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,2015,8162,333,0.40297639307465793,0.2400034333705964,0.16297295970406153,biology_biomedicine,5,0.5,36.52291105121294,6.181818181818182,d10_y2015_00235,1,1,1,1,0.047023606925342076,0.5847614046962247
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,,8902,333,0.3977837455132561,0.23765543774953926,0.16012830776371687,biology_biomedicine,4,0.4,37.71624354077735,5.635294117647059,d10_yall_00291,1,1,1,1,0.052216254486743885,0.5684960432543832
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2015,8902,333,0.3977837455132561,0.23765543774953926,0.16012830776371687,biology_biomedicine,4,0.4,37.71624354077735,5.635294117647059,d10_y2015_00295,1,1,1,1,0.052216254486743885,0.5684960432543832
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2014,8767,333,0.3969255099316623,0.234390053859677,0.1625354560719853,biology_biomedicine,4,0.4,37.743812022356565,5.876543209876543,d10_y2014_00294,1,1,1,1,0.0530744900683377,0.5725831469327924
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,,8766,333,0.39661275082057745,0.2414040817594252,0.15520866906115224,biology_biomedicine,4,0.4,36.75564681724846,6.2435897435897445,d10_yall_00281,1,1,1,1,0.05338724917942256,0.5792449791454299
exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies ubiquitin_and_proteasome_pathways,10,2015,8766,333,0.39661275082057745,0.2414040817594252,0.15520866906115224,biology_biomedicine,4,0.4,36.75564681724846,6.2435897435897445,d10_y2015_00285,1,1,1,1,0.05338724917942256,0.5792449791454299
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,,7627,333,0.39626442440670867,0.21339088880962026,0.1828735355970884,biology_biomedicine,4,0.4,35.61688737380359,5.3086419753086425,d10_yall_00256,1,1,1,1,0.05373557559329134,0.561580940692736
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2015,7627,333,0.39626442440670867,0.21339088880962026,0.1828735355970884,biology_biomedicine,4,0.4,35.61688737380359,5.3086419753086425,d10_y2015_00260,1,1,1,1,0.05373557559329134,0.561580940692736
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,,8396,419,0.3952556867354331,0.2222922201566694,0.17296346657876369,biology_biomedicine,4,0.4,35.707479752262984,5.658823529411764,d10_yall_00246,1,1,1,1,0.05474431326456691,0.5670803306526067
crispr gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications perovskite_solar_cells spectroscopy_and_quantum_chemical_studies topological_insulators ubiquitin_and_proteasome_pathways,10,2015,8396,419,0.3952556867354331,0.2222922201566694,0.17296346657876369,biology_biomedicine,4,0.4,35.707479752262984,5.658823529411764,d10_y2015_00250,1,1,1,1,0.05474431326456691,0.5670803306526067
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics spectroscopy_and_quantum_chemical_studies topological_insulators,10,,8228,333,0.3940584597232646,0.2139802327765798,0.1800782269466848,biology_biomedicine,4,0.4,37.67622751579972,5.551282051282052,d10_yall_00016,1,1,1,1,0.055941540276735424,0.5640880120962399
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics spectroscopy_and_quantum_chemical_studies topological_insulators,10,2015,8228,333,0.3940584597232646,0.2139802327765798,0.1800782269466848,biology_biomedicine,4,0.4,37.67622751579972,5.551282051282052,d10_y2015_00020,1,1,1,1,0.055941540276735424,0.5640880120962399
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics spectroscopy_and_quantum_chemical_studies topological_insulators,10,2014,8093,333,0.3928815945121692,0.20984822190012992,0.18303337261203928,biology_biomedicine,4,0.4,37.66835536883726,5.706666666666666,d10_y2014_00019,1,1,1,1,0.057118405487830815,0.5661665964761046
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies,10,,8092,333,0.3927916952706988,0.21796625296200414,0.17482544230869465,biology_biomedicine,4,0.4,37.03040039545229,6.098591549295774,d10_yall_00001,1,1,1,1,0.05720830472930122,0.573504798372049
crispr exoplanets gamma_ray_bursts_and_supernovae genetics_aging_and_longevity_in_model_organisms graphene_2d_materials ipsc_reprogramming mass_spectrometry_techniques_and_applications microbiome_metagenomics perovskite_solar_cells spectroscopy_and_quantum_chemical_studies,10,2015,8092,333,0.3927916952706988,0.21796625296200414,0.17482544230869465,biology_biomedicine,4,0.4,37.03040039545229,6.098591549295774,d10_y2015_00005,1,1,1,1,0.05720830472930122,0.573504798372049
