case_id,paper_id,source,run_status,scoring_protocol,semantic_agreement,novelty_coverage,prior_art_accuracy,factuality,readability,unsupported_claim_rate,evidence_trace_completeness,review_structure_coverage,entailed_points,related_points,contradicted_points,no_match_points,total_points,expected_case_count,evaluable_case_count,excluded_case_count
s41467-025-60104-w,s41467-025-60104-w,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.3333333333333333,0.5,0.5,1.0,1.0,0.18333333333333335,0.6666666666666666,0.6666666666666666,0,4,0,2,6,50,50,0
s41467-025-60185-7,s41467-025-60185-7,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.5,0.5,0.5,1.0,1.0,0.09166666666666667,0.8333333333333334,0.8333333333333334,1,4,0,1,6,50,50,0
s41467-025-62003-6,s41467-025-62003-6,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.5,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41467-025-62238-3,s41467-025-62238-3,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.08333333333333333,0.0,0.0,1.0,1.0,0.45833333333333337,0.16666666666666666,0.16666666666666666,0,1,0,5,6,50,50,0
s41467-025-63136-4,s41467-025-63136-4,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.0,0.0,0.0,1.0,1.0,0.55,0.0,0.0,0,0,0,6,6,50,50,0
s41467-025-63742-2,s41467-025-63742-2,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.0,0.0,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41467-025-64320-2,s41467-025-64320-2,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.08333333333333333,0.5,0.0,1.0,1.0,0.45833333333333337,0.16666666666666666,0.16666666666666666,0,1,0,5,6,50,50,0
s41467-025-65212-1,s41467-025-65212-1,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.16666666666666666,0.0,0.0,1.0,1.0,0.3666666666666667,0.3333333333333333,0.3333333333333333,0,2,0,4,6,50,50,0
s41467-025-67985-x,s41467-025-67985-x,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.0,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41551-023-01133-y,s41551-023-01133-y,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.08333333333333333,0.0,0.5,1.0,1.0,0.45833333333333337,0.16666666666666666,0.16666666666666666,0,1,0,5,6,50,50,0
s41551-023-01156-5,s41551-023-01156-5,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.08333333333333333,0.5,0.0,1.0,1.0,0.45833333333333337,0.16666666666666666,0.16666666666666666,0,1,0,5,6,50,50,0
s41551-024-01220-8,s41551-024-01220-8,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.5,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41551-024-01299-z,s41551-024-01299-z,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.3333333333333333,0.0,0.5,1.0,1.0,0.18333333333333335,0.6666666666666666,0.6666666666666666,0,4,0,2,6,50,50,0
s41551-025-01353-4,s41551-025-01353-4,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.16666666666666666,0.0,0.0,1.0,1.0,0.3666666666666667,0.3333333333333333,0.3333333333333333,0,2,0,4,6,50,50,0
s41551-025-01536-z,s41551-025-01536-z,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.0,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41556-023-01120-0,s41556-023-01120-0,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.4166666666666667,0.5,0.5,1.0,1.0,0.09166666666666667,0.8333333333333334,0.8333333333333334,0,5,0,1,6,50,50,0
s41556-023-01272-z,s41556-023-01272-z,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.0,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41556-024-01442-7,s41556-024-01442-7,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.0,0.0,0.0,1.0,1.0,0.55,0.0,0.0,0,0,0,5,5,50,50,0
s41556-025-01621-0,s41556-025-01621-0,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.3333333333333333,0.5,0.5,1.0,1.0,0.18333333333333335,0.6666666666666666,0.6666666666666666,0,4,0,2,6,50,50,0
s41556-025-01799-3,s41556-025-01799-3,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.3333333333333333,0.5,0.0,1.0,1.0,0.18333333333333335,0.6666666666666666,0.6666666666666666,0,4,0,2,6,50,50,0
s41559-023-02056-2,s41559-023-02056-2,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.16666666666666666,0.5,0.5,1.0,1.0,0.3666666666666667,0.3333333333333333,0.3333333333333333,0,2,0,4,6,50,50,0
s41559-023-02201-x,s41559-023-02201-x,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.0,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41559-024-02530-5,s41559-024-02530-5,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.08333333333333333,0.0,0.0,1.0,1.0,0.45833333333333337,0.16666666666666666,0.16666666666666666,0,1,0,5,6,50,50,0
s41559-024-02600-8,s41559-024-02600-8,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.3333333333333333,0.5,0.5,1.0,1.0,0.18333333333333335,0.6666666666666666,0.6666666666666666,0,4,0,2,6,50,50,0
s41559-025-02720-9,s41559-025-02720-9,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.0,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41559-025-02767-8,s41559-025-02767-8,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.3333333333333333,0.5,0.5,1.0,1.0,0.18333333333333335,0.6666666666666666,0.6666666666666666,0,4,0,2,6,50,50,0
s41562-025-02108-6,s41562-025-02108-6,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.0,0.0,0.0,1.0,1.0,0.55,0.0,0.0,0,0,0,6,6,50,50,0
s41564-023-01530-8,s41564-023-01530-8,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.3333333333333333,0.5,0.5,1.0,1.0,0.18333333333333335,0.6666666666666666,0.6666666666666666,0,4,0,2,6,50,50,0
s41564-024-01634-9,s41564-024-01634-9,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.5,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41590-023-01641-8,s41590-023-01641-8,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.5,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41590-024-01922-w,s41590-024-01922-w,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.16666666666666666,0.5,0.5,1.0,1.0,0.3666666666666667,0.3333333333333333,0.3333333333333333,0,2,0,4,6,50,50,0
s41590-025-02270-z,s41590-025-02270-z,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.16666666666666666,0.0,0.5,1.0,1.0,0.3666666666666667,0.3333333333333333,0.3333333333333333,0,2,0,4,6,50,50,0
s41594-023-00923-x,s41594-023-00923-x,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.5,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41594-024-01313-7,s41594-024-01313-7,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.25,0.5,0.5,1.0,1.0,0.275,0.5,0.5,0,3,0,3,6,50,50,0
s41594-025-01596-4,s41594-025-01596-4,observed_generic_llm_run,ok,same_fig4_semantic_matcher,0.08333333333333333,0.0,0.0,1.0,1.0,0.45833333333333337,0.16666666666666666,0.16666666666666666,0,1,0,5,6,50,50,0
