domain,display_name,field_name,family,n_works,n_landmarks,first_landmark_year,n_citation_rows,local_reference_closure,quality_score,quality_pass,failure_reasons
latent_dirichlet_allocation,Latent Dirichlet allocation,Computer Science,methods_computing,800,1,2003,55854,0.06640527088480681,0.7777777777777778,1,
lithium_ion_batteries,Lithium-ion battery cathodes,Materials Science,materials_chemistry,800,1,1980,67408,0.038318893899833846,0.7777777777777778,1,
mcmc_gibbs_sampling,Gibbs sampling and MCMC,Computer Science,methods_computing,800,1,1984,80150,0.0411353711790393,0.7777777777777778,1,
metal_organic_frameworks,Metal-organic frameworks,Chemistry,materials_chemistry,800,1,1995,80954,0.06994095412209403,0.7777777777777778,1,
metamaterials_negative_index,Negative-index metamaterials,Physics and Astronomy,physics_astronomy,800,1,2000,56938,0.0716744529136956,0.7777777777777778,1,
microarray_gene_expression,DNA microarrays and gene expression profiling,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,1995,52348,0.05816841140062658,0.7777777777777778,1,
mrna_vaccines_lnp,mRNA vaccines and lipid nanoparticles,Medicine,biology_biomedicine,800,1,2005,123755,0.05496343582077492,0.7777777777777778,1,
mxenes_2d_carbides,MXenes and 2D carbides,Materials Science,materials_chemistry,800,1,2011,90089,0.13164759293587452,0.7777777777777778,1,
nanopore_sequencing,Nanopore sequencing,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,1,1996,74600,0.12107238605898123,0.7777777777777778,1,
neutrino_oscillations,Neutrino oscillations,Physics and Astronomy,physics_astronomy,800,1,1998,87278,0.0802722335525562,0.7777777777777778,1,
optogenetics,Optogenetics,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,2005,78376,0.05857660508318873,0.7777777777777778,1,
organic_leds,Organic light-emitting diodes,Materials Science,materials_chemistry,800,1,1987,55667,0.06326908222106455,0.7777777777777778,1,
pagerank_web_search,PageRank and web search,Computer Science,methods_computing,800,1,1998,50875,0.05611793611793612,0.7777777777777778,1,
pcr_polymerase_chain_reaction,PCR polymerase chain reaction,Biochemistry Genetics and Molecular Biology,biology_biomedicine,800,1,1985,53278,0.04632306017493149,0.7777777777777778,1,
photocatalytic_water_splitting,Photocatalytic water splitting,Chemistry,materials_chemistry,800,1,1972,94177,0.06156492561878166,0.7777777777777778,1,
photonic_crystals,Photonic crystals,Physics and Astronomy,physics_astronomy,800,1,1987,71418,0.0684981377243832,0.7777777777777778,1,
quantum_hall_effect,Quantum Hall effect,Physics and Astronomy,physics_astronomy,800,1,1980,47027,0.04916324664554405,0.7777777777777778,1,
quantum_teleportation,Quantum teleportation,Physics and Astronomy,physics_astronomy,800,1,1993,60711,0.08500930638599265,0.7777777777777778,1,
quasicrystals,Quasicrystals,Materials Science,materials_chemistry,800,1,1984,37498,0.07968424982665742,0.7777777777777778,1,
random_forests,Random forests,Computer Science,methods_computing,800,1,2001,72802,0.06102854317189088,0.7777777777777778,1,
rna_interference,RNA interference,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,1,1998,52434,0.0854788877445932,0.7777777777777778,1,
rna_interference_and_gene_delivery,rna interference and gene delivery,,other_science,800,1,2001,129387,0.04388385231901196,0.7777777777777778,1,
super_resolution_microscopy,Super-resolution microscopy,"Biochemistry, Genetics and Molecular Biology",biology_biomedicine,800,1,2006,88079,0.05978723645817959,0.7777777777777778,1,
support_vector_machines,Support vector machines,Computer Science,methods_computing,800,1,1995,69560,0.07152098907418056,0.7777777777777778,1,
sustainable_development_and_environmental_policy,Sustainable Development and Environmental Policy,Environmental Science,other_science,800,1,1986,110894,0.020803650332750195,0.7777777777777778,1,
theoretical_and_computational_physics,Theoretical and Computational Physics,Physics and Astronomy,physics_astronomy,800,1,1971,119034,0.03077272039921367,0.7777777777777778,1,
ultracold_optical_lattices,Ultracold atoms in optical lattices,Physics and Astronomy,physics_astronomy,800,1,2002,76889,0.1138654423909792,0.7777777777777778,1,
gender_labor_and_family_dynamics,"Gender, Labor, and Family Dynamics",Social Sciences,other_science,800,1,1976,68865,0.016394394830465404,0.7176843582855345,0,low_local_reference_closure
advanced_mri_techniques_and_applications,Advanced MRI Techniques and Applications,Medicine,biology_biomedicine,800,1,1981,99295,0.009053829497960622,0.5953416027437881,0,low_local_reference_closure
