slug,display_name,field_name,query,n_landmarks,first_landmark_year
mcmc_gibbs_sampling,Gibbs sampling and MCMC,Computer Science,Gibbs sampling Markov random fields,1,1984
pagerank_web_search,PageRank and web search,Computer Science,PageRank web search Brin Page,1,1998
random_forests,Random forests,Computer Science,random forests machine learning,1,2001
support_vector_machines,Support vector machines,Computer Science,support vector machines Cortes Vapnik,1,1995
banking_stability_regulation_efficiency,"Banking stability, regulation, efficiency","Economics, Econometrics and Finance","Banking stability, regulation, efficiency",2,1996
economic_growth_and_productivity,Economic Growth and Productivity,"Economics, Econometrics and Finance",Economic Growth and Productivity,2,1977
economic_theories_and_models,Economic theories and models,"Economics, Econometrics and Finance",Economic theories and models,2,1998
economic_theory_and_institutions,Economic Theory and Institutions,"Economics, Econometrics and Finance",Economic Theory and Institutions,3,1972
economic_theory_and_policy,Economic Theory and Policy,"Economics, Econometrics and Finance",Economic Theory and Policy,3,1970
financial_markets_and_investment_strategies,Financial Markets and Investment Strategies,"Economics, Econometrics and Finance",Financial Markets and Investment Strategies,3,1975
monetary_policy_and_economic_impact,Monetary Policy and Economic Impact,"Economics, Econometrics and Finance",Monetary Policy and Economic Impact,2,1990
sustainable_development_and_environmental_policy,Sustainable Development and Environmental Policy,Environmental Science,Sustainable Development and Environmental Policy,1,1986
carbon_nanotubes,Carbon nanotubes,Materials Science,carbon nanotubes Iijima,1,1991
colloidal_quantum_dots,Colloidal quantum dots,Materials Science,colloidal quantum dots nanocrystals,1,1993
dye_sensitized_solar_cells,Dye-sensitized solar cells,Materials Science,dye sensitized solar cells Gratzel,1,1991
graphene_2d_materials,Graphene and 2D materials,Materials Science,"""graphene"" OR ""two-dimensional materials"" OR ""van der Waals heterostructure""",1,2004
high_entropy_alloys,High-entropy alloys,Materials Science,high entropy alloys,1,2004
lithium_ion_batteries,Lithium-ion battery cathodes,Materials Science,lithium ion batteries LiCoO2 Goodenough,1,1980
mxenes_2d_carbides,MXenes and 2D carbides,Materials Science,MXenes two dimensional carbides,1,2011
organic_leds,Organic light-emitting diodes,Materials Science,organic light emitting diode OLED Tang VanSlyke,1,1987
perovskite_solar_cells,Perovskite solar cells,Materials Science,"""perovskite solar cell"" OR ""organometal halide perovskite""",3,2009
quasicrystals,Quasicrystals,Materials Science,quasicrystals Shechtman,1,1984
advanced_mri_techniques_and_applications,Advanced MRI Techniques and Applications,Medicine,Advanced MRI Techniques and Applications,1,1981
autophagy_in_disease_and_therapy,Autophagy in Disease and Therapy,Medicine,Autophagy in Disease and Therapy,3,2005
car_t_cell_therapy,CAR-T cell therapy,Medicine,"""CAR-T"" OR ""chimeric antigen receptor T cell""",2,2011
genome_wide_association_studies,Genome-wide association studies,Medicine,"""genome-wide association study"" OR ""GWAS""",1,2007
immune_checkpoint_therapy,Immune checkpoint therapy,Medicine,"""immune checkpoint inhibitor"" OR ""PD-1"" OR ""CTLA-4"" OR ""cancer immunotherapy""",1,2010
microbiome_metagenomics,Microbiome and metagenomics,Medicine,"""microbiome"" OR ""metagenomics"" OR ""human microbiome""",2,2010
mrna_vaccines_lnp,mRNA vaccines and lipid nanoparticles,Medicine,"""mRNA vaccine"" OR ""lipid nanoparticle"" OR ""modified mRNA""",1,2005
organoids,Organoids and stem-cell models,Medicine,"""organoid"" OR ""cerebral organoid"" OR ""intestinal organoid""",2,2009
bose_einstein_condensates,Bose-Einstein condensates,Physics and Astronomy,Bose Einstein condensation dilute gas,1,1995
exoplanets,Exoplanets,Physics and Astronomy,"""exoplanet"" OR ""extrasolar planet"" OR ""transiting planet""",1,1995
fractional_quantum_hall_effect,Fractional quantum Hall effect,Physics and Astronomy,fractional quantum Hall effect,1,1982
gamma_ray_bursts_and_supernovae,Gamma-ray bursts and supernovae,Physics and Astronomy,Gamma-ray bursts and supernovae,2,1998
high_tc_superconductivity,High-Tc superconductivity,Physics and Astronomy,high temperature superconductivity cuprates,1,1986
magnetic_properties_of_thin_films,Magnetic properties of thin films,Physics and Astronomy,Magnetic properties of thin films,3,1988
metamaterials_negative_index,Negative-index metamaterials,Physics and Astronomy,negative index metamaterials,1,2000
neutrino_oscillations,Neutrino oscillations,Physics and Astronomy,neutrino oscillations Super Kamiokande,1,1998
photonic_crystals,Photonic crystals,Physics and Astronomy,photonic crystals photonic band gap,1,1987
quantum_hall_effect,Quantum Hall effect,Physics and Astronomy,quantum Hall effect,1,1980
quantum_teleportation,Quantum teleportation,Physics and Astronomy,quantum teleportation Bennett,1,1993
spectroscopy_and_quantum_chemical_studies,Spectroscopy and Quantum Chemical Studies,Physics and Astronomy,Spectroscopy and Quantum Chemical Studies,2,1987
theoretical_and_computational_physics,Theoretical and Computational Physics,Physics and Astronomy,Theoretical and Computational Physics,1,1971
topological_insulators,Topological insulators,Physics and Astronomy,"""topological insulator"" OR ""quantum spin Hall"" OR ""topological materials""",2,2005
ultracold_optical_lattices,Ultracold atoms in optical lattices,Physics and Astronomy,optical lattice Mott insulator ultracold atoms,1,2002
gender_labor_and_family_dynamics,"Gender, Labor, and Family Dynamics",Social Sciences,"Gender, Labor, and Family Dynamics",1,1976
income_poverty_and_inequality,"Income, Poverty, and Inequality",Social Sciences,"Income, Poverty, and Inequality",3,1973
