feature_id,gate_checks_json,failed_gates_json,final_role,decision_reason,gate_recovery_quality,recovery_provenance
EF0011,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": false, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": false, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": false, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": false}","[""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"", ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G05_PUBLICATION_TIME"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT"", ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"", ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
EF0012,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": false, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": false, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": false, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": false}","[""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"", ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G05_PUBLICATION_TIME"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT"", ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"", ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
EF0013,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": false, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": false, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": false, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": false}","[""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"", ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G05_PUBLICATION_TIME"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT"", ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"", ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
EF0014,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": true, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": true, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": false, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": false}","[""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT"", ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"", ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
EF0015,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": true, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": true, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": false, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": false}","[""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT"", ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"", ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
EF0016,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": true, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": true, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": false, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": false}","[""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT"", ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"", ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
EF0017,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": true, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": true, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": true, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": true}","[""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
EF0018,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": false, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": false, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": false, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": false}","[""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"", ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G05_PUBLICATION_TIME"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT"", ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"", ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
EF0019,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": true, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": true, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": false, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": false}","[""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT"", ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"", ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
EF0020,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": false, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": false, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": false, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": false}","[""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"", ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G05_PUBLICATION_TIME"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT"", ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"", ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
EF0021,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": false, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": true, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": false, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": false}","[""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"", ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT"", ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"", ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
EF0022,"{""G01_IN_SCOPE_ROLE"": true, ""G02_ARTICLE_LEVEL"": true, ""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"": false, ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"": false, ""G05_PUBLICATION_TIME"": false, ""G06_NO_FUTURE_INFORMATION"": true, ""G07_CURRENT_DATA_READY"": false, ""G08_BIAS_GUARDRAIL"": true, ""G09_NO_FATAL_VALIDITY_CONCERN"": true, ""G10_OUTCOME_BLIND_SELECTION"": true, ""G11_DATA_QUALITY_PASS"": false, ""G12_NONCONSTANT"": false, ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"": false, ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL"": false}","[""G03_PRIMARY_OR_FOUNDATIONAL_EVIDENCE"", ""G04_REPRODUCIBLE_DEFINITION_AND_OPERATIONALIZATION"", ""G05_PUBLICATION_TIME"", ""G07_CURRENT_DATA_READY"", ""G11_DATA_QUALITY_PASS"", ""G12_NONCONSTANT"", ""G13_ENGLISH_FULLTEXT_FORMULA_EVIDENCE"", ""G14_INDEPENDENT_SECOND_REVIEW_APPROVAL""]",excluded,RECOVERED_GATE_FAILURE,exact_for_frozen_set_membership_not_original_per_gate_bytes,codex_session_log_nested_membership
