dimension_id,label,definition,construct_role,feature_ids_json,reported_status,reported_selected,reported_reason,exact_mapped_feature_count,reconstructed_mapped_feature_count,recovery_provenance
CD025,General paper and study quality,Recovered label; original full definition was not printed.,t0_potential,"[""EF0168"", ""EF0264"", ""EF0374"", ""EF0395"", ""EF0413""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,0,5,session_exact_label_mixed_mapping
CD026,Indexing and semantic discoverability,Recovered label; original full definition was not printed.,t0_potential,"[""EF0024"", ""EF0403""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,2,0,session_exact_label_mixed_mapping
CD027,Institutional prestige and research capacity,Recovered label; original full definition was not printed.,opportunity,"[""EF0063"", ""EF0149"", ""EF0175"", ""EF0176"", ""EF0325"", ""EF0337""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,3,3,session_exact_label_mixed_mapping
CD028,Interdisciplinarity measurement sensitivity,Recovered label; original full definition was not printed.,sensitivity,"[""EF0161"", ""EF0177"", ""EF0181"", ""EF0182"", ""EF0423"", ""EF0424""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,1,5,session_exact_label_mixed_mapping
CD029,Interdisciplinary knowledge integration,Recovered label; original full definition was not printed.,substantive_innovation,"[""EF0017"", ""EF0115"", ""EF0117"", ""EF0209"", ""EF0257"", ""EF0316"", ""EF0427""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,7,0,session_exact_label_mixed_mapping
CD030,Interdisciplinary team composition,Recovered label; original full definition was not printed.,t0_potential,"[""EF0183"", ""EF0184"", ""EF0185""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,0,3,session_exact_label_mixed_mapping
CD031,Knowledge diversity and integration potential,Recovered label; original full definition was not printed.,t0_potential,"[""EF0129"", ""EF0130"", ""EF0210"", ""EF0211"", ""EF0212"", ""EF0235"", ""EF0259"", ""EF0260"", ""EF0309"", ""EF0312"", ""EF0315"", ""EF0318""]",retained,"EF0312, EF0318",PASS,10,2,session_exact_label_mixed_mapping
CD032,Knowledge recombination and concept emergence,Recovered label; original full definition was not printed.,substantive_innovation,"[""EF0240""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,1,0,session_exact_label_mixed_mapping
CD033,Measurement validity and reliability,Recovered label; original full definition was not printed.,sensitivity,"[""EF0094"", ""EF0098"", ""EF0113"", ""EF0145"", ""EF0146"", ""EF0162"", ""EF0179"", ""EF0246"", ""EF0251"", ""EF0252"", ""EF0271"", ""EF0273"", ""EF0375"", ""EF0394"", ""EF0402""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,8,7,session_exact_label_mixed_mapping
CD034,Method and procedure documentation,Recovered label; original full definition was not printed.,t0_potential,"[""EF0165"", ""EF0415""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,2,0,session_exact_label_mixed_mapping
CD035,Methodological integration and adaptation,Recovered label; original full definition was not printed.,t0_potential,"[""EF0226"", ""EF0227"", ""EF0241"", ""EF0368"", ""EF0404""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,1,4,session_exact_label_mixed_mapping
CD036,Novelty comparison context,Recovered label; original full definition was not printed.,context_control,"[""EF0242"", ""EF0243"", ""EF0244""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,0,3,session_exact_label_mixed_mapping
CD037,Outcome and endpoint specification,Recovered label; original full definition was not printed.,t0_potential,"[""EF0059"", ""EF0061"", ""EF0095"", ""EF0128"", ""EF0276"", ""EF0279""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,3,3,session_exact_label_mixed_mapping
CD038,Peer-review and consensus process,Recovered label; original full definition was not printed.,t0_potential,"[""EF0060"", ""EF0152"", ""EF0233"", ""EF0268"", ""EF0270"", ""EF0277""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,0,6,session_exact_label_mixed_mapping
CD039,Public-engagement policy opportunity,Recovered label; original full definition was not printed.,opportunity,"[""EF0297"", ""EF0298""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,0,2,session_exact_label_mixed_mapping
CD040,Publication and funding environment,Recovered label; original full definition was not printed.,opportunity,"[""EF0300""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,1,0,session_exact_label_mixed_mapping
CD041,Publication and venue context,Recovered label; original full definition was not printed.,context_control,"[""EF0015"", ""EF0087"", ""EF0193"", ""EF0197"", ""EF0205"", ""EF0302"", ""EF0304"", ""EF0306"", ""EF0307"", ""EF0416""]",retained,"EF0197, EF0307",PASS,5,5,session_exact_label_mixed_mapping
CD042,Publication language and geographic-position potential,Recovered label; original full definition was not printed.,t0_potential,"[""EF0269"", ""EF0303"", ""EF0305""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,1,2,session_exact_label_mixed_mapping
CD043,Publication policy and editorial process,Recovered label; original full definition was not printed.,opportunity,"[""EF0202""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,1,0,session_exact_label_mixed_mapping
CD044,Reference knowledge profile,Recovered label; original full definition was not printed.,t0_potential,"[""EF0074"", ""EF0287"", ""EF0289""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,3,0,session_exact_label_mixed_mapping
CD045,Reference knowledge recency,Recovered label; original full definition was not printed.,substantive_innovation,"[""EF0052"", ""EF0073""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,1,1,session_exact_label_mixed_mapping
CD046,Reference-volume context,Recovered label; original full definition was not printed.,context_control,"[""EF0075"", ""EF0141"", ""EF0142"", ""EF0313"", ""EF0314""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,1,4,session_exact_label_mixed_mapping
CD047,Reporting completeness and guideline adherence,Recovered label; original full definition was not printed.,t0_potential,"[""EF0023"", ""EF0064"", ""EF0093"", ""EF0163"", ""EF0167"", ""EF0178"", ""EF0224"", ""EF0253"", ""EF0290"", ""EF0291"", ""EF0321"", ""EF0322"", ""EF0323"", ""EF0383"", ""EF0405""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,7,8,session_exact_label_mixed_mapping
CD048,Reproducibility and research integrity,Recovered label; original full definition was not printed.,t0_potential,"[""EF0053"", ""EF0256"", ""EF0263"", ""EF0324"", ""EF0330"", ""EF0332"", ""EF0333"", ""EF0335"", ""EF0336"", ""EF0339"", ""EF0341"", ""EF0342"", ""EF0346"", ""EF0347"", ""EF0370""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,2,13,session_exact_label_mixed_mapping
CD049,Research question and theoretical alignment,Recovered label; original full definition was not printed.,t0_potential,"[""EF0220"", ""EF0231"", ""EF0343"", ""EF0344"", ""EF0349""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,4,1,session_exact_label_mixed_mapping
CD050,Review reliability and bias sensitivity,Recovered label; original full definition was not printed.,sensitivity,"[""EF0353"", ""EF0355"", ""EF0367"", ""EF0369"", ""EF0379""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,0,5,session_exact_label_mixed_mapping
CD051,Sample and population adequacy,Recovered label; original full definition was not printed.,t0_potential,"[""EF0267"", ""EF0396"", ""EF0397"", ""EF0398""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,4,0,session_exact_label_mixed_mapping
CD052,Scientific novelty and originality,Recovered label; original full definition was not printed.,t0_potential,"[""EF0261"", ""EF0262"", ""EF0372"", ""EF0373""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,0,4,session_exact_label_mixed_mapping
CD053,Scientific writing clarity and style,Recovered label; original full definition was not printed.,t0_potential,"[""EF0016"", ""EF0111"", ""EF0116"", ""EF0123"", ""EF0180"", ""EF0216"", ""EF0221"", ""EF0245"", ""EF0310"", ""EF0376"", ""EF0422"", ""EF0431"", ""EF0432""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,10,3,session_exact_label_mixed_mapping
CD054,Stakeholder engagement and accessibility,Recovered label; original full definition was not printed.,t0_potential,"[""EF0003""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,0,1,session_exact_label_mixed_mapping
CD055,Statistical robustness and precision,Recovered label; original full definition was not printed.,sensitivity,"[""EF0125"", ""EF0225"", ""EF0275"", ""EF0320"", ""EF0385"", ""EF0386"", ""EF0387"", ""EF0388"", ""EF0389""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,3,6,session_exact_label_mixed_mapping
CD056,Study design and methodological rigor,Recovered label; original full definition was not printed.,t0_potential,"[""EF0020"", ""EF0021"", ""EF0131"", ""EF0217"", ""EF0228"", ""EF0229"", ""EF0230"", ""EF0308"", ""EF0377"", ""EF0392""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,9,1,session_exact_label_mixed_mapping
CD057,Study design and sample context,Recovered label; original full definition was not printed.,context_control,"[""EF0054"", ""EF0058"", ""EF0076"", ""EF0124"", ""EF0127"", ""EF0144"", ""EF0266"", ""EF0345"", ""EF0390"", ""EF0391"", ""EF0393""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,8,3,session_exact_label_mixed_mapping
CD058,Study setting and scale opportunity,Recovered label; original full definition was not printed.,opportunity,"[""EF0189"", ""EF0234"", ""EF0399"", ""EF0400"", ""EF0428""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,4,1,session_exact_label_mixed_mapping
CD059,Systematic-review search and protocol rigor,Recovered label; original full definition was not printed.,t0_potential,"[""EF0215"", ""EF0278"", ""EF0293"", ""EF0358"", ""EF0359"", ""EF0360"", ""EF0364"", ""EF0365"", ""EF0366"", ""EF0378"", ""EF0411""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,5,6,session_exact_label_mixed_mapping
CD060,Systematic-review synthesis and appraisal,Recovered label; original full definition was not printed.,t0_potential,"[""EF0350"", ""EF0351"", ""EF0352"", ""EF0354"", ""EF0356"", ""EF0357"", ""EF0361"", ""EF0362"", ""EF0363"", ""EF0406"", ""EF0407"", ""EF0408"", ""EF0409"", ""EF0410"", ""EF0412""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,10,5,session_exact_label_mixed_mapping
CD061,Team demographic diversity,Recovered label; original full definition was not printed.,substantive_innovation,"[""EF0041"", ""EF0046"", ""EF0254"", ""EF0414""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES|FEWER_THAN_TWO_INDEPENDENT_RESEARCH_GROUPS,1,3,session_exact_label_mixed_mapping
CD062,Title and keyword design,Recovered label; original full definition was not printed.,t0_potential,"[""EF0199"", ""EF0207"", ""EF0208"", ""EF0419"", ""EF0420"", ""EF0421""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,3,3,session_exact_label_mixed_mapping
CD063,Topic and field normalization context,Recovered label; original full definition was not printed.,context_control,"[""EF0031"", ""EF0097"", ""EF0148"", ""EF0206"", ""EF0223"", ""EF0265"", ""EF0418"", ""EF0425""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,3,5,session_exact_label_mixed_mapping
CD064,Topic and knowledge-content profile,Recovered label; original full definition was not printed.,t0_potential,"[""EF0340"", ""EF0426""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,2,0,session_exact_label_mixed_mapping
CD065,"Topic, field, and community opportunity",Recovered label; original full definition was not printed.,opportunity,"[""EF0099"", ""EF0119"", ""EF0173"", ""EF0213"", ""EF0328""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,4,1,session_exact_label_mixed_mapping
CD066,Venue prestige and disciplinary position,Recovered label; original full definition was not printed.,opportunity,"[""EF0118"", ""EF0164"", ""EF0194"", ""EF0196"", ""EF0198"", ""EF0200"", ""EF0201"", ""EF0204"", ""EF0237"", ""EF0331""]",eliminated,—,NO_INDICATOR_PASSED_ALL_HARD_GATES,8,2,session_exact_label_mixed_mapping
