variant,variant_label,metric,metric_label,direction,source,mean,std,count,sem,ci95_low,ci95_high
no fusion,- fusion,readability,Readability,higher,observed_true_module_rerun,0.9915600000000001,0.0047257868365479455,50,0.0006683271837130349,0.9902500787199225,0.9928699212800777
no fusion,- fusion,unsupported_claim_rate,Unsupported claim rate,lower,observed_true_module_rerun,0.25,0.0,50,0.0,0.25,0.25
no fusion,- fusion,evidence_trace_completeness,Evidence trace completeness,higher,observed_true_module_rerun,0.22333333333333327,0.17040035557221797,50,0.024098249388342846,0.1761007645321813,0.2705659021344853
no fusion,- fusion,review_structure_coverage,Human-like review structure coverage,higher,observed_true_module_rerun,1.0,0.0,50,0.0,1.0,1.0
no verifier,- verifier,semantic_agreement,Semantic agreement with peer review,higher,observed_true_module_rerun,0.825,0.11123151073141026,50,0.015730511103960884,0.7941681982362366,0.8558318017637633
no verifier,- verifier,novelty_coverage,Novelty coverage,higher,observed_true_module_rerun,0.89,0.15286381827880496,50,0.02161820850060222,0.8476283113388197,0.9323716886611804
no verifier,- verifier,prior_art_accuracy,Prior-art accuracy,higher,observed_true_module_rerun,0.51,0.15939938288872424,50,0.02254247691151357,0.4658167452534334,0.5541832547465666
no verifier,- verifier,factuality,Factuality,higher,observed_true_module_rerun,0.745,0.03535533905932738,50,0.005000000000000001,0.7352,0.7548
no verifier,- verifier,readability,Readability,higher,observed_true_module_rerun,0.99308,0.00375711569789206,50,0.0005313363975363806,0.9920385806608286,0.9941214193391713
no verifier,- verifier,unsupported_claim_rate,Unsupported claim rate,lower,observed_true_module_rerun,0.255,0.03535533905932738,50,0.005000000000000001,0.2452,0.2648
no verifier,- verifier,evidence_trace_completeness,Evidence trace completeness,higher,observed_true_module_rerun,0.20999999999999996,0.13388491351913856,50,0.01893418604959147,0.1728889953428007,0.24711100465719923
no verifier,- verifier,review_structure_coverage,Human-like review structure coverage,higher,observed_true_module_rerun,1.0,0.0,50,0.0,1.0,1.0
