domain,landmark_source,accepted_landmark_source,source_id,label,id,doi,title,year,match_confidence,include_main,needs_manual_confirmation,evidence_key
ipsc_reprogramming,strict_manual_v3,strict_manual_v3,10.1016/j.cell.2007.11.019,Takahashi 2007,https://openalex.org/W2138977668,10.1016/j.cell.2007.11.019,Induction of pluripotent stem cells from adult human fibroblasts by defined factors,2007,1.0,1,0,https://openalex.org/W2138977668
ipsc_reprogramming,strict_manual_v3,strict_manual_v3,10.1126/science.1151526,Yu 2007,https://openalex.org/W2142046859,10.1126/science.1151526,Induced pluripotent stem cell lines derived from human somatic cells,2007,1.0,1,0,https://openalex.org/W2142046859
mass_spectrometry_techniques_and_applications,strict_manual_v3,strict_manual_v3,10.1021/ac00171a028,Karas/Hillenkamp 1988,https://openalex.org/W1974830441,10.1021/ac00171a028,Laser desorption ionization of proteins with molecular masses exceeding 10000 daltons,1988,0.9941520467836256,1,0,https://openalex.org/W1974830441
mass_spectrometry_techniques_and_applications,strict_manual_v3,strict_manual_v3,10.1126/science.2675315,Fenn 1989,https://openalex.org/W2073292063,10.1126/science.2675315,Electrospray ionization for mass spectrometry of large biomolecules,1989,1.0,1,0,https://openalex.org/W2073292063
microbiome_metagenomics,strict_manual_v3,strict_manual_v3,10.1038/nature08821,Qin 2010,https://openalex.org/W2125826054,10.1038/nature08821,A human gut microbial gene catalogue established by metagenomic sequencing,2010,1.0,1,0,https://openalex.org/W2125826054
microbiome_metagenomics,strict_manual_v3,strict_manual_v3,10.1038/nature11234,HMP 2012,https://openalex.org/W1505343478,10.1038/nature11234,"Structure, function and diversity of the healthy human microbiome",2012,1.0,1,0,https://openalex.org/W1505343478
perovskite_solar_cells,strict_manual_v3,strict_manual_v3,10.1021/ja809598r,Kojima 2009,https://openalex.org/W2057327293,10.1021/ja809598r,Organometal halide perovskites as visible-light sensitizers for photovoltaic cells,2009,1.0,1,0,https://openalex.org/W2057327293
perovskite_solar_cells,strict_manual_v3,strict_manual_v3,10.1126/science.1228604,Lee 2012,https://openalex.org/W1965464747,10.1126/science.1228604,Efficient hybrid solar cells based on meso-superstructured organometal halide perovskites,2012,1.0,1,0,https://openalex.org/W1965464747
perovskite_solar_cells,strict_manual_v3,strict_manual_v3,10.1038/nature12340,Burschka 2013,https://openalex.org/W2114118829,10.1038/nature12340,Sequential deposition as a route to high-performance perovskite-sensitized solar cells,2013,1.0,1,0,https://openalex.org/W2114118829
topological_insulators,strict_manual_v3,strict_manual_v3,10.1103/physrevlett.95.226801,Kane/Mele 2005,https://openalex.org/W2030164271,10.1103/physrevlett.95.226801,Quantum spin Hall effect in graphene,2005,1.0,1,0,https://openalex.org/W2030164271
topological_insulators,strict_manual_v3,strict_manual_v3,10.1126/science.1133734,Bernevig 2006,https://openalex.org/W2117734893,10.1126/science.1133734,Quantum spin Hall effect and topological phase transition in HgTe quantum wells,2006,1.0,1,0,https://openalex.org/W2117734893
ubiquitin_and_proteasome_pathways,strict_manual_v3,strict_manual_v3,10.1073/pnas.77.3.1365,Ciechanover 1980,https://openalex.org/W2034941135,10.1073/pnas.77.3.1365,ATP-dependent conjugation of reticulocyte proteins with the polypeptide required for protein degradation,1980,0.9952153110047848,1,0,https://openalex.org/W2034941135
ubiquitin_and_proteasome_pathways,strict_manual_v3,strict_manual_v3,10.1146/annurev.biochem.67.1.425,Hershko/Ciechanover 1998,https://openalex.org/W2166987747,10.1146/annurev.biochem.67.1.425,The ubiquitin system,1998,1.0,1,0,https://openalex.org/W2166987747
